conv3.1.conv2d.3.conv2.weight                                          (96, 1, 3, 3)
conv3.1.conv2d.3.bn.weight                                             (96,)
conv3.1.conv2d.3.bn.bias                                               (96,)
conv3.1.conv2d.3.bn.running_mean                                       (96,)
conv3.1.conv2d.3.bn.running_var                                        (96,)
conv3.1.conv2d.3.bn.num_batches_tracked                                ()
conv3.1.gate.fc1.weight                                                (6, 96, 1, 1)
conv3.1.gate.fc1.bias                                                  (6,)
conv3.1.gate.fc2.weight                                                (96, 6, 1, 1)
conv3.1.gate.fc2.bias                                                  (96,)
conv3.1.conv3.conv.weight                                              (384, 96, 1, 1)
conv3.1.conv3.bn.weight                                                (384,)
conv3.1.conv3.bn.bias                                                  (384,)
conv3.1.conv3.bn.running_mean                                          (384,)
conv3.1.conv3.bn.running_var                                           (384,)
conv3.1.conv3.bn.num_batches_tracked                                   ()
conv3.2.0.conv.weight                                                  (384, 384, 1, 1)
conv3.2.0.bn.weight                                                    (384,)
conv3.2.0.bn.bias                                                      (384,)
conv3.2.0.bn.running_mean                                              (384,)
conv3.2.0.bn.running_var                                               (384,)
conv3.2.0.bn.num_batches_tracked                                       ()
conv4.0.conv1.conv.weight                                              (128, 384, 1, 1)
conv4.0.conv1.bn.weight                                                (128,)
conv4.0.conv1.bn.bias                                                  (128,)
conv4.0.conv1.bn.running_mean                                          (128,)
conv4.0.conv1.bn.running_var                                           (128,)
conv4.0.conv1.bn.num_batches_tracked                                   ()
conv4.0.conv2a.conv1.weight                                            (128, 128, 1, 1)
conv4.0.conv2a.conv2.weight                                            (128, 1, 3, 3)
conv4.0.conv2a.bn.weight                                               (128,)
conv4.0.conv2a.bn.bias                                                 (128,)
conv4.0.conv2a.bn.running_mean                                         (128,)
conv4.0.conv2a.bn.running_var                                          (128,)
conv4.0.conv2a.bn.num_batches_tracked                                  ()
conv4.0.conv2b.0.conv1.weight                                          (128, 128, 1, 1)
conv4.0.conv2b.0.conv2.weight                                          (128, 1, 3, 3)
conv4.0.conv2b.0.bn.weight                                             (128,)
conv4.0.conv2b.0.bn.bias                                               (128,)
conv4.0.conv2b.0.bn.running_mean                                       (128,)
conv4.0.conv2b.0.bn.running_var                                        (128,)
conv4.0.conv2b.0.bn.num_batches_tracked                                ()
conv4.0.conv2b.1.conv1.weight                                          (128, 128, 1, 1)
conv4.0.conv2b.1.conv2.weight                                          (128, 1, 3, 3)
conv4.0.conv2b.1.bn.weight                                             (128,)
conv4.0.conv2b.1.bn.bias                                               (128,)
conv4.0.conv2b.1.bn.running_mean                                       (128,)
conv4.0.conv2b.1.bn.running_var                                        (128,)
conv4.0.conv2b.1.bn.num_batches_tracked                                ()
conv4.0.conv2c.0.conv1.weight                                          (128, 128, 1, 1)
conv4.0.conv2c.0.conv2.weight                                          (128, 1, 3, 3)
conv4.0.conv2c.0.bn.weight                                             (128,)
conv4.0.conv2c.0.bn.bias                                               (128,)
conv4.0.conv2c.0.bn.running_mean                                       (128,)
conv4.0.conv2c.0.bn.running_var                                        (128,)
conv4.0.conv2c.0.bn.num_batches_tracked                                ()
conv4.0.conv2c.1.conv1.weight                                          (128, 128, 1, 1)
conv4.0.conv2c.1.conv2.weight                                          (128, 1, 3, 3)
